post_id,post_facebook_post_id,post_page_id,post_post_url,post_thumbnail_url,post_caption,post_total_comment_count,post_share_count,post_media_urls_count,post_creation_time,post_facebook_creation_time,post_created_at,post_updated_at,post_tagged_bank,post_tagged_banks,page_id,page_facebook_id,page_name,page_profile_url,page_profile_picture_url,page_is_business_page_active,page_delegate_page_id,page_is_additional_profile_plus,page_created_at,page_updated_at,post_reaction_Angry,post_reaction_Care,post_reaction_Haha,post_reaction_Like,post_reaction_Love,post_reaction_Sad,post_reaction_Wow,post_reactions_total,post_media_items,post_media_urls,post_media_types,comments_exported,comment_likes_sum,comment_replies_sum,unique_comment_authors,any_comment_tagged,comment_tagged_banks_union,verified_authors,any_verified_author,comments_export_coverage
3666,3786702514966560,3666,https://www.facebook.com/groups/bcub.bd/permalink/3786702514966560/,,আমি একটি স্টুডেন্ট একাউন্ট খুলতে চাই । সম্পূর্ণ একাউন্ট অনলাইনে খোলা যাবে কোন‌ ব্যাংকে । যাতে তথ্য জমা দেয়ার জন্য ব্রাঞ্চে যাওয়া না‌ লাগে । এবং কার্ড হোম ডেলিভারি দেয়।   বয়স ১৮ বছরের নিচে।   Advance thanks ✨🤍  #HelpPost  #HelpPlease,16,0,0,2025-12-28T10:54:09+00:00,1766919249,2025-12-29T20:57:59.279589+00:00,2025-12-30T18:56:07.721248+00:00,,,3666,2248656405437853,Bank Card Users Of Bangladesh (BCUB)🇧🇩,https://www.facebook.com/groups/bcub.bd,,False,122168846363436,False,2025-12-29T20:57:59.033129+00:00,2025-12-30T18:56:07.138256+00:00,0.0,0.0,1.0,8.0,0.0,0.0,0.0,9,0,,,14,2,12,7,1,Eastern Bank PLC|AB Bank,0,0,0.875
7656,3781586192144859,3666,https://www.facebook.com/groups/bcub.bd/permalink/3781586192144859/,,"#Approve_Please রেসপন্স না পাওয়ায় পুনরায় পোস্ট দেওয়া।   প্রশ্ন-১: কোনো ব্যাংক কি বর্তমানে এডুকেশন লোন দেয়? অথবা স্টুডেন্ট ভিসায় বিদেশ যাওয়ার জন্য কোনো লোন কি পাওয়া যায়? প্রবাসী কল্যাণ ব্যাংক কি লোন দেয় কোনো?  প্রশ্ন-২: স্যালারি যদি ৪০ হাজার হয়, তাহলে একটা ব্যাংক থেকে স্যালারি একাউন্ট দেখিয়ে লোন নেওয়ার পর, ঐ ব্যাংকের বা অন্য কোনো ব্যাংকের ক্রেডিট কার্ড নিয়ে কি এক্সট্রা লোন নেওয়া সম্ভব?   (মোট ১০ লাখ টাকা লোন লাগতো। তাই চাচ্ছিলাম ১ টা ব্যাংক থেকে ৫ লাখ নিয়ে, আরেকটা ব্যাংক বা ঐ ব্যাংকের ক্রেডিট কার্ড দিয়ে আরো ৪/৫ লাখ টাকা নিতে)।  কাইন্ডলি জানাবেন।",2,0,0,2025-12-23T19:41:36+00:00,1766518896,2025-12-30T18:56:07.721248+00:00,2025-12-30T18:56:07.721248+00:00,,,3666,2248656405437853,Bank Card Users Of Bangladesh (BCUB)🇧🇩,https://www.facebook.com/groups/bcub.bd,,False,122168846363436,False,2025-12-29T20:57:59.033129+00:00,2025-12-30T18:56:07.138256+00:00,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,,,2,0,0,2,0,,0,0,1.0
7547,3788230508147094,3666,https://www.facebook.com/groups/bcub.bd/permalink/3788230508147094/,,I use Amex Gold and City Visa platinum card so wanted to know which one will be easier to use in Thailand? also do they charge extra for POS payments outside Bangladesh?    If they do then how much?   Thanks in Advance.,14,0,0,2025-12-30T08:02:37+00:00,1767081757,2025-12-30T18:56:07.721248+00:00,2025-12-30T18:56:07.721248+00:00,['American Express'],American Express,3666,2248656405437853,Bank Card Users Of Bangladesh (BCUB)🇧🇩,https://www.facebook.com/groups/bcub.bd,,False,122168846363436,False,2025-12-29T20:57:59.033129+00:00,2025-12-30T18:56:07.138256+00:00,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,,,14,5,13,7,1,City Bank|Bangladesh Bank,0,0,1.0
3680,3785126228457522,3666,https://www.facebook.com/groups/bcub.bd/permalink/3785126228457522/,,"রূপালী ব্যাংকে একটা একাউন্ট খুলছিলাম,সাথে ডেবিট কার্ডের এপ্লাই ও করে দিছিলাম। আর এটা করছিলাম আগস্ট মাসে। এখন রূপালী ব্যাংকের ওয়েবসাইটে চেক করলে দেখায় যে কার্ড আমার এলাকার রূপালী ব্যাংকের শাখায় পৌছে গেছে। তখন ব্যাংকে কল করলে তারা বলে যে, কার্ড চলে আসছে কিন্তু কিসের একটা কোড নাকি কুরিয়ারে আসবে। ঐটা আসলে নাকি তারপরে কার্ড নিতে পারবো। এখন অভিজ্ঞদের পরামর্শ চাচ্ছি।  জোনাল অফিসে কী কল দেবো? আগের বার জোনাল অফিসে কল দিছিলাম। তারপর সেই সিনিয়র অফিসাররা,আমার এলাকার রূপালী ব্যাংকের অফিসার কে ধমক দেন। #AdminApprovePlz 😒",6,0,0,2025-12-26T20:56:57+00:00,1766782617,2025-12-29T20:57:59.279589+00:00,2025-12-30T18:56:07.721248+00:00,['Rupali Bank'],Rupali Bank,3666,2248656405437853,Bank Card Users Of Bangladesh (BCUB)🇧🇩,https://www.facebook.com/groups/bcub.bd,,False,122168846363436,False,2025-12-29T20:57:59.033129+00:00,2025-12-30T18:56:07.138256+00:00,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3,0,,,6,0,9,2,0,,0,0,1.0
3708,3783478245288987,3666,https://www.facebook.com/groups/bcub.bd/permalink/3783478245288987/,,বাইরের কান্ট্রি থেকে সেলারি সরাসরি আকাউন্টে আনার ক্ষেত্রে কি ২.৫% ইনসেন্টিভ পাওয়া যাবে? কোন ব্যাংকে এই সুবিধা আছে?,0,0,0,2025-12-25T07:38:07+00:00,1766648287,2025-12-29T20:57:59.279589+00:00,2025-12-30T18:56:07.721248+00:00,,,3666,2248656405437853,Bank Card Users Of Bangladesh (BCUB)🇧🇩,https://www.facebook.com/groups/bcub.bd,,False,122168846363436,False,2025-12-29T20:57:59.033129+00:00,2025-12-30T18:56:07.138256+00:00,,,,,,,,0,0,,,0,0,0,0,0,,0,0,0.0
3656,3786989714937840,3666,https://www.facebook.com/groups/bcub.bd/permalink/3786989714937840/,,হেল্প পোস্ট.... জন্ম নিবন্ধন দিয়ে ডাচ বাংলা ব্যাংক   রকেট একাউন্ট  খুলব কীভাবে...,3,0,0,2025-12-28T18:07:45+00:00,1766945265,2025-12-29T20:57:59.279589+00:00,2025-12-30T18:56:07.721248+00:00,['Dutch-Bangla Bank PLC'],Dutch-Bangla Bank PLC,3666,2248656405437853,Bank Card Users Of Bangladesh (BCUB)🇧🇩,https://www.facebook.com/groups/bcub.bd,,False,122168846363436,False,2025-12-29T20:57:59.033129+00:00,2025-12-30T18:56:07.138256+00:00,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6,0,,,3,0,0,3,0,,0,0,1.0
7748,3779666525670159,3666,https://www.facebook.com/groups/bcub.bd/permalink/3779666525670159/,,,24,0,0,2025-12-20T08:09:39+00:00,1766218179,2025-12-30T18:56:07.721248+00:00,2025-12-30T18:56:07.721248+00:00,,,3666,2248656405437853,Bank Card Users Of Bangladesh (BCUB)🇧🇩,https://www.facebook.com/groups/bcub.bd,,False,122168846363436,False,2025-12-29T20:57:59.033129+00:00,2025-12-30T18:56:07.138256+00:00,0.0,0.0,0.0,44.0,0.0,0.0,0.0,44,0,,,0,0,0,0,0,,0,0,0.0
3635,3787341121569366,3666,https://www.facebook.com/groups/bcub.bd/permalink/3787341121569366/,,নগদ থেকে ভিসা কার্ডে ১ হাজার টাকা পাঠানোর জন্য চার্জ নিলো ২৫ টাকা কারণ কি?,1,0,0,2025-12-29T18:24:46+00:00,1767032686,2025-12-29T20:57:59.279589+00:00,2025-12-30T18:56:07.721248+00:00,,,3666,2248656405437853,Bank Card Users Of Bangladesh (BCUB)🇧🇩,https://www.facebook.com/groups/bcub.bd,,False,122168846363436,False,2025-12-29T20:57:59.033129+00:00,2025-12-30T18:56:07.138256+00:00,,,,,,,,0,0,,,1,0,0,1,0,,0,0,1.0
7705,3778021359168009,3666,https://www.facebook.com/groups/bcub.bd/permalink/3778021359168009/,,ব্রাঞ্চে না গিয়ে ব্রাক/সিটি ব্যাংকের অ্যাপ থেকে কি DPS/FDR ভাঙা যায়/এনক্যাশমেন্ট করা যায়? অনুগ্রহ করে জানাবেন কেউ।,11,0,0,2025-12-21T06:56:14+00:00,1766300174,2025-12-30T18:56:07.721248+00:00,2025-12-30T18:56:07.721248+00:00,['BRAC Bank PLC'],BRAC Bank PLC,3666,2248656405437853,Bank Card Users Of Bangladesh (BCUB)🇧🇩,https://www.facebook.com/groups/bcub.bd,,False,122168846363436,False,2025-12-29T20:57:59.033129+00:00,2025-12-30T18:56:07.138256+00:00,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7,0,,,0,0,0,0,0,,0,0,0.0
7819,3773856136251198,3666,https://www.facebook.com/groups/bcub.bd/permalink/3773856136251198/,,১০ বছরের জন্য একটি DPS খুলতে চাই। আমার পছন্দের ব্যাংক হলো:  Mercantile Bank  Trust Bank  অনুগ্রহ করে ১০ বছরের DPS-এর জন্য কোনটি সবচেয়ে ভালো হবে সে বিষয়ে পরামর্শ দিন।  ধন্যবাদ।,0,0,0,2025-12-15T15:24:57+00:00,1765812297,2025-12-30T18:56:07.721248+00:00,2025-12-30T18:56:07.721248+00:00,"['Mercantile Bank', 'Trust Bank']",Mercantile Bank|Trust Bank,3666,2248656405437853,Bank Card Users Of Bangladesh (BCUB)🇧🇩,https://www.facebook.com/groups/bcub.bd,,False,122168846363436,False,2025-12-29T20:57:59.033129+00:00,2025-12-30T18:56:07.138256+00:00,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7,0,,,0,0,0,0,0,,0,0,0.0
