brand,source_type,period_key,n_posts,reactions,comments,shares,EP,AdvocacyShares,SentimentProxy_avg_w,Depth_avg_w,ServiceScore_avg_w,BES_raw_avg,BES_0_100,depth_covered_posts,service_covered_posts
Dutch-Bangla Bank PLC,earned,2025-W52,11,749,351,28,1535,28,0.03844219515728208,5.726155759726997,0.03292828827647618,1.7860246574376533,68.35791418281404,11,1
Mutual Trust Bank,earned,2025-W52,10,743,264,22,1337,22,0.1374544785728599,4.467856336760395,0,1.5758263367976408,56.63192991501525,7,0
BRAC Bank PLC,owned,2025-W41,13,8106,808,174,10244,174,0.1548531360079624,1.113732942596653,0.044325048857681,1.6563940980016387,100,2,2
Prime Bank,owned,2025-W40,17,3229,129,249,4234,249,0.0924238047382083,0,0,1.3628041670136362,0,0,0
Mutual Trust Bank,earned,2025-W51,4,171,81,0,333,0,0.04652423190952232,0,0,0.676968314121302,96.06075462004291,0,0
Bangladesh Bank,earned,2026-W01,2,146,37,0,220,0,0.15569222059694413,5.051864238866769,0,1.6269686321295447,84.23251693976466,2,0
Dutch-Bangla Bank PLC,earned,2026-W01,6,501,175,1,854,1,0.36862985846761337,5.947446717637558,0,1.931520855886335,100,4,0
City Bank,earned,2026-W01,8,299,172,2,649,2,0.08642398226086373,5.174872612195959,0,1.599601257575658,82.81563477302626,8,0
Islami Bank Bangladesh,earned,2026-W01,5,303,122,1,550,1,0.14322811230824917,5.221339076683606,0,1.6549996395148021,85.68375715287614,5,0
United Commercial Bank,earned,2026-W01,5,211,91,0,393,0,0.11487928048042535,4.835758763366048,0,1.5383715887400482,79.6456110764655,5,0
Dutch-Bangla Bank PLC,earned,2025-W51,12,208,136,2,486,2,0.0948190197611183,0,0,0.5754113121450096,79.03508915104507,0,0
Prime Bank,earned,2025-W51,2,4,12,0,28,0,0,0,0,0.4026302156735948,50.06896086207027,0,0
Trust Bank,earned,2025-W51,3,9,3,0,15,0,0,0,0,0.282209923513692,29.88093275867963,0,0
Eastern Bank PLC,earned,2025-W52,23,273,331,5,950,5,0.00949175488072585,4.023507971443723,0.018945669088013078,1.2863877851446348,40.48550261319999,22,1
Prime Bank,earned,2026-W01,3,15,30,0,75,0,0.11318056046595429,3.593737297798906,0,1.1688931514799898,60.51672431689116,3,0
Eastern Bank PLC,earned,2026-W01,11,223,172,1,570,1,0.05968593646523816,4.619452354262243,0,1.4210685085009878,73.57251691951774,11,0
Unspecified Bank,earned,2026-W01,3,128,80,1,291,1,0.10644648535981807,5.727171836343154,0,1.728715124572046,89.500204944915,3,0
BRAC Bank PLC,owned,2025-W51,10,15788,834,427,18737,427,0.10772407178431867,0,0,1.697650518980671,100,0,0
BRAC Bank PLC,owned,2025-W47,17,25904,4158,499,35717,499,0.11122876732599701,0,0,1.603686842481203,100,0,0
Prime Bank,owned,2025-W47,6,561,24,30,699,30,0.1128928257975841,0,0,1.0907180051261187,0,0,0
Prime Bank,owned,2025-W46,7,4380,443,55,5431,55,0.0563277010522215,0,0,1.2746700525116037,0,0,0
AB Bank,earned,2025-W52,1,9,16,0,41,0,0.1111111111111111,4.6443908991413725,0,1.434827402614589,48.76625677846148,1,0
BRAC Bank PLC,owned,2025-W45,14,14370,1429,364,18320,364,0.1243006775276413,0,0,1.6671586283610207,100,0,0
Mercantile Bank,earned,2025-W51,2,8,0,0,8,0,0,0,0,0.25993019270997947,26.145816163844678,0,0
Al-Arafah Islami Bank,earned,2025-W52,2,129,55,1,242,1,0.08817732638356822,5.994473533449582,0,1.825309849133277,70.54945186198167,2,0
