post_id,post_post_url,post_creation_time,period_key,source_type,page_name,page_profile_url,brand,attribution_confidence,reactions,comments,shares,EP,ADV,SentimentProxy,comments_export_coverage,unique_comment_authors,comment_replies_sum,Depth,depth_available,median_reply_time_minutes,ServiceScore,BES_raw
3717,https://www.facebook.com/groups/bcub.bd/permalink/3784161498553995/,2025-12-25T07:16:48+00:00,2025-W52,earned,Bank Card Users Of Bangladesh (BCUB)🇧🇩,https://www.facebook.com/groups/bcub.bd,Dutch-Bangla Bank PLC,post_tag_list,564,110,21,847,22,0.30141843971631205,0.95,69,68,8.482601746646619,true,,0,3.016417654452318
3717,https://www.facebook.com/groups/bcub.bd/permalink/3784161498553995/,2025-12-25T07:16:48+00:00,2025-W52,earned,Bank Card Users Of Bangladesh (BCUB)🇧🇩,https://www.facebook.com/groups/bcub.bd,Mutual Trust Bank,post_tag_list,564,110,21,847,22,0.30141843971631205,0.95,69,68,8.482601746646619,true,,0,3.016417654452318
7850,https://www.facebook.com/BRACBANK/posts/pfbid02Xyykmc3RYpdwcPkjDcS4QwygUVeaDVcaF679o1muFi5WPk2RXJK7arHH8CcfaYaAl,2025-10-10T08:01:12+00:00,2025-W41,owned,BRAC Bank PLC,https://www.facebook.com/BRACBANKTARA,BRAC Bank PLC,post_tag,96,11,25,193,25,0.13541666666666666,0,0,0,0,false,,0,1.4891938647971288
3735,https://www.facebook.com/reel/1892007058408077/,2025-10-05T14:01:07+00:00,2025-W40,owned,Prime Bank,https://www.facebook.com/primebankofficial,Prime Bank,post_tag,123,3,9,156,9,0.08943089430894309,0,0,0,0,false,,0,1.2502547024091855
7759,https://www.facebook.com/groups/bcub.bd/permalink/3776809542622524/,2025-12-19T17:08:11+00:00,2025-W51,earned,Bank Card Users Of Bangladesh (BCUB)🇧🇩,https://www.facebook.com/groups/bcub.bd,Mutual Trust Bank,post_tag,16,13,0,42,0,0,0,0,0,0,false,,0,0.5641800173540343
3641,https://www.facebook.com/groups/bcub.bd/permalink/3787754731528005/,2025-12-29T18:23:29+00:00,2026-W01,earned,Bank Card Users Of Bangladesh (BCUB)🇧🇩,https://www.facebook.com/groups/bcub.bd,Bangladesh Bank,comment_tag,139,28,0,195,1,0.2517985611510791,0.86,21,10,5.488937726156687,true,,0,1.8418167903229472
3641,https://www.facebook.com/groups/bcub.bd/permalink/3787754731528005/,2025-12-29T18:23:29+00:00,2026-W01,earned,Bank Card Users Of Bangladesh (BCUB)🇧🇩,https://www.facebook.com/groups/bcub.bd,Dutch-Bangla Bank PLC,comment_tag,139,28,0,195,1,0.2517985611510791,0.86,21,10,5.488937726156687,true,,0,1.8418167903229472
3641,https://www.facebook.com/groups/bcub.bd/permalink/3787754731528005/,2025-12-29T18:23:29+00:00,2026-W01,earned,Bank Card Users Of Bangladesh (BCUB)🇧🇩,https://www.facebook.com/groups/bcub.bd,City Bank,comment_tag,139,28,0,195,1,0.2517985611510791,0.86,21,10,5.488937726156687,true,,0,1.8418167903229472
3641,https://www.facebook.com/groups/bcub.bd/permalink/3787754731528005/,2025-12-29T18:23:29+00:00,2026-W01,earned,Bank Card Users Of Bangladesh (BCUB)🇧🇩,https://www.facebook.com/groups/bcub.bd,Islami Bank Bangladesh,comment_tag,139,28,0,195,1,0.2517985611510791,0.86,21,10,5.488937726156687,true,,0,1.8418167903229472
3641,https://www.facebook.com/groups/bcub.bd/permalink/3787754731528005/,2025-12-29T18:23:29+00:00,2026-W01,earned,Bank Card Users Of Bangladesh (BCUB)🇧🇩,https://www.facebook.com/groups/bcub.bd,United Commercial Bank,comment_tag,139,28,0,195,1,0.2517985611510791,0.86,21,10,5.488937726156687,true,,0,1.8418167903229472
